"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Aruba","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",4.034,,,
"Aruba","PC - Population and Housing Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",5.016,,,"Data reference period: September | Age coverage - minimum age: 14 years old"
"Aruba","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2007",6.29,,,"Data reference period: October"
"Aruba","PC - Population and Housing Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",5.819,,,"Data reference period: October"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",6.399,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",8.228,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",7.674,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",7.336,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2012",6.769,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",4.546,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",2.468,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",2.067,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",2.545,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",1.252,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",2.339,,,
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",2.373,,,
"Angola","HIES - Core Welfare Indicators Questionnaire","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2009",2.093,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2004",3.027,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Anguilla","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2001",2.392,,,"Data reference period: May | Population coverage: Excluding armed forces and/or conscripts"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",11.227,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",11.502,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",11.216,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",11.163,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",10.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",10.588,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",10.142,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2016",10.191,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2015",9.226,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",8.671,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2013",7.488,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2012",7.156,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",7.661,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",8.231,,,"Repository: ILO-STATISTICS - Micro data processing"
